ref_date,geo,reg_status,prog_level,program_class,sex,value
2003/2004,Canada,"Total, registration status",Trade/vocational and preparatory training certificate or diploma,"Total, instructional programs",Both sexes,168
2003/2004,Canada,"Total, registration status",Trade/vocational and preparatory training certificate or diploma,"Total, instructional programs",Males,21
2003/2004,Canada,"Total, registration status",Trade/vocational and preparatory training certificate or diploma,"Total, instructional programs",Females,147
2003/2004,Canada,"Total, registration status",Trade/vocational and preparatory training certificate or diploma,Education,Both sexes,0
2003/2004,Canada,"Total, registration status",Trade/vocational and preparatory training certificate or diploma,Education,Females,0
2003/2004,Canada,"Total, registration status",Trade/vocational and preparatory training certificate or diploma,Humanities,Both sexes,33
2003/2004,Canada,"Total, registration status",Trade/vocational and preparatory training certificate or diploma,Humanities,Males,0
2003/2004,Canada,"Total, registration status",Trade/vocational and preparatory training certificate or diploma,Humanities,Females,30
2003/2004,Canada,"Total, registration status",Trade/vocational and preparatory training certificate or diploma,"Business, management and public administration",Both sexes,135
2003/2004,Canada,"Total, registration status",Trade/vocational and preparatory training certificate or diploma,"Business, management and public administration",Males,18
2003/2004,Canada,"Total, registration status",Trade/vocational and preparatory training certificate or diploma,"Business, management and public administration",Females,120
2003/2004,Canada,"Total, registration status",Trade/vocational and preparatory training certificate or diploma,Other instructional programs,Both sexes,0
2003/2004,Canada,"Total, registration status",Trade/vocational and preparatory training certificate or diploma,Other instructional programs,Males,0
2003/2004,Canada,"Total, registration status",Trade/vocational and preparatory training certificate or diploma,Other instructional programs,Females,0
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Total, instructional programs",Both sexes,2946
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Total, instructional programs",Males,1302
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Total, instructional programs",Females,1644
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Education,Both sexes,21
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Education,Males,9
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Education,Females,12
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Visual and performing arts and communications technologies,Both sexes,969
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Visual and performing arts and communications technologies,Males,393
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Visual and performing arts and communications technologies,Females,576
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Humanities,Both sexes,18
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Humanities,Males,3
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Humanities,Females,15
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Social and behavioural sciences and law,Both sexes,0
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Social and behavioural sciences and law,Males,0
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Social and behavioural sciences and law,Females,0
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Business, management and public administration",Both sexes,462
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Business, management and public administration",Males,180
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Business, management and public administration",Females,282
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Physical and life sciences and technologies,Both sexes,120
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Physical and life sciences and technologies,Males,78
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Physical and life sciences and technologies,Females,39
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Mathematics, computer and information sciences",Both sexes,27
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Mathematics, computer and information sciences",Males,21
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Mathematics, computer and information sciences",Females,6
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Architecture, engineering and related technologies",Both sexes,135
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Architecture, engineering and related technologies",Males,129
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Architecture, engineering and related technologies",Females,6
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Agriculture, natural resources and conservation",Both sexes,591
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Agriculture, natural resources and conservation",Males,372
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Agriculture, natural resources and conservation",Females,216
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Health, parks, recreation and fitness",Both sexes,402
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Health, parks, recreation and fitness",Males,48
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,"Health, parks, recreation and fitness",Females,354
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Other instructional programs,Both sexes,204
2003/2004,Canada,"Total, registration status",Community college certificate or diploma and other community college level,Other instructional programs,Males,63
